date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:31	296/296	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Apr%202024%2011:48:30%20GMT	https://localhost/robots.txt		(from )
14:48:31	44601/44601	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Apr%202024%2011:48:30%20GMT	https://localhost/Wordpress/	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/index.html	(from )
14:48:31	13025/13025	---M--	200	added ('OK')	text/css	etag:%2232e1-61620dde229d0%22	https://localhost/Wordpress/wp-content/uploads/blocksy/css/global.css?ver=80277	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/uploads/blocksy/css/global9593.css	(from https://localhost/Wordpress/)
14:48:31	113381/113381	---M--	200	added ('OK')	text/css	etag:%221bae5-615933dd6f3b6%22	https://localhost/Wordpress/wp-includes/css/dist/block-library/style.min.css?ver=6.5.2	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-includes/css/dist/block-library/style.mine63c.css	(from https://localhost/Wordpress/)
14:48:31	203/203	---M--	200	added ('OK')	text/css	etag:%22cb-61593e0f35372%22	https://localhost/Wordpress/wp-content/plugins/superb-blocks/assets/css/enhancements.min.css?ver=3.2.5	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/plugins/superb-blocks/assets/css/enhancements.min2072.css	(from https://localhost/Wordpress/)
14:48:32	22525/22525	---M--	200	added ('OK')	text/css	etag:%2257fd-616205e93db24%22	https://localhost/Wordpress/wp-content/plugins/translatepress-multilingual/assets/css/trp-floater-language-switcher.css?ver=2.7.4	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/plugins/translatepress-multilingual/assets/css/trp-floater-language-switcherae29.css	(from https://localhost/Wordpress/)
14:48:32	2843/2843	---M--	200	added ('OK')	text/css	etag:%22b1b-616205e93f8ac%22	https://localhost/Wordpress/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher.css?ver=2.7.4	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcherae29.css	(from https://localhost/Wordpress/)
14:48:32	865/865	---M--	200	added ('OK')	application/rss+xml	etag:%22f25c075be0060ca9a6241d37b9631249%22	https://localhost/Wordpress/feed/	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/feed/index.html	(from https://localhost/Wordpress/)
14:48:32	104171/104171	---M--	200	added ('OK')	text/css	etag:%22196eb-615fad5e50167%22	https://localhost/Wordpress/wp-content/themes/blocksy/static/bundle/main.min.css?ver=2.0.39	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/themes/blocksy/static/bundle/main.min765d.css	(from https://localhost/Wordpress/)
14:48:32	1371/1371	---M--	200	added ('OK')	text/css	etag:%2255b-615fad5e52e70%22	https://localhost/Wordpress/wp-content/themes/blocksy/static/bundle/page-title.min.css?ver=2.0.39	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/themes/blocksy/static/bundle/page-title.min765d.css	(from https://localhost/Wordpress/)
14:48:32	768/768	---M--	200	added ('OK')	application/rss+xml	etag:%22f25c075be0060ca9a6241d37b9631249%22	https://localhost/Wordpress/comments/feed/	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/comments/feed/index.html	(from https://localhost/Wordpress/)
14:48:33	2786/2786	---M--	200	added ('OK')	application/json	date:Mon,%2015%20Apr%202024%2011:48:32%20GMT	https://localhost/Wordpress/wp-json/wp/v2/pages/31	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-json/wp/v2/pages/31.json	(from https://localhost/Wordpress/)
14:48:33	186285/186285	---MC-	200	added ('OK')	application/json	date:Mon,%2015%20Apr%202024%2011:48:33%20GMT	https://localhost/Wordpress/wp-json/	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-json/index.html	(from https://localhost/Wordpress/)
14:48:33	828/828	---M--	200	added ('OK')	text/xml	date:Mon,%2015%20Apr%202024%2011:48:33%20GMT	https://localhost/Wordpress/xmlrpc.php?rsd	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/xmlrpc0db0.php	(from https://localhost/Wordpress/)
14:48:34	2036/2036	---M--	200	added ('OK')	application/json	date:Mon,%2015%20Apr%202024%2011:48:33%20GMT	https://localhost/Wordpress/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flocalhost%2FWordpress%2F	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-json/oembed/1.0/embed86ee.json	(from https://localhost/Wordpress/)
14:48:34	2187/2187	---M--	200	added ('OK')	text/xml	date:Mon,%2015%20Apr%202024%2011:48:34%20GMT	https://localhost/Wordpress/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flocalhost%2FWordpress%2F&format=xml	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-json/oembed/1.0/embed5e06	(from https://localhost/Wordpress/)
14:48:34	99/99	---M--	200	added ('OK')	text/css	etag:%2263-615fad5e50937%22	https://localhost/Wordpress/wp-content/themes/blocksy/static/bundle/no-scripts.min.css	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/themes/blocksy/static/bundle/no-scripts.min.css	(from https://localhost/Wordpress/)
14:48:34	121779/121779	---M--	200	added ('OK')	image/jpeg	etag:%221dbb3-61620c5874822%22	https://localhost/Wordpress/wp-content/uploads/2024/04/40548516_1902741260020095_3771287280833003520_n.jpg	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/uploads/2024/04/40548516_1902741260020095_3771287280833003520_n.jpg	(from https://localhost/Wordpress/)
14:48:34	278/278	---M--	200	added ('OK')	image/png	etag:%22116-616205e950028%22	https://localhost/Wordpress/wp-content/plugins/translatepress-multilingual/assets/images/flags/et.png	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/plugins/translatepress-multilingual/assets/images/flags/et.png	(from https://localhost/Wordpress/)
14:48:35	600/600	---M--	200	added ('OK')	image/png	etag:%22258-616205e947a93%22	https://localhost/Wordpress/wp-content/plugins/translatepress-multilingual/assets/images/flags/en_GB.png	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/plugins/translatepress-multilingual/assets/images/flags/en_GB.png	(from https://localhost/Wordpress/)
14:48:35	30569/30569	---M--	200	added ('OK')	text/javascript	etag:%227769-615fad5e4dc29%22	https://localhost/Wordpress/wp-content/themes/blocksy/static/bundle/main.js?ver=2.0.39	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/wp-content/themes/blocksy/static/bundle/main765d.js	(from https://localhost/Wordpress/)
14:48:36	47402/47402	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Apr%202024%2011:48:35%20GMT	https://localhost/Wordpress/en/	C:/Users/andri/Desktop/Uus%20kaust%20(4)/MajutusWebsite/localhost/Wordpress/en/index.html	(from https://localhost/Wordpress/)
